	log2FoldChange	padj	significance
CGGC5_243	11.4472501602949	1.60795050450578e-185	UP
CGGC5_7542	9.36711226600552	7.19328636271719e-118	UP
CGGC5_11496	9.45284961782438	6.20193678980838e-95	UP
CGGC5_3465	12.8922053820218	1.26069351072148e-94	UP
CGGC5_6644	8.09410434486026	6.35659948875595e-81	UP
CGGC5_12868	7.31669332084705	1.24616476854072e-79	UP
CGGC5_4385	8.44585186407646	5.73630046187558e-79	UP
CGGC5_9585	12.4846098013783	6.84935909998703e-77	UP
CGGC5_14435	10.9164045110795	7.21764972319607e-71	UP
CGGC5_1983	12.5939723594896	1.858492429188e-68	UP
CGGC5_1361	7.05375433344271	4.79504424054721e-61	UP
CGGC5_4289	10.6988754093395	2.12345984587989e-60	UP
CGGC5_13478	7.09652606443343	2.84488928636778e-60	UP
CGGC5_9626	7.81346426536616	1.25361804249271e-57	UP
CGGC5_11380	7.45073078471163	2.83415751550632e-54	UP
CGGC5_6197	10.7880417951355	1.01650658712598e-52	UP
CGGC5_10384	7.81133422344531	5.3545042772139e-52	UP
CGGC5_7603	9.11561919779167	8.0901762203054e-51	UP
CGGC5_1801	12.6137302030339	2.74001545885408e-50	UP
CGGC5_480	11.1541795240703	4.02620655723891e-49	UP
CGGC5_2018	8.14161388970649	2.10420484381154e-45	UP
CGGC5_12833	8.9330924730529	3.43842320605722e-45	UP
CGGC5_13538	7.09424300788812	4.98681554514323e-45	UP
CGGC5_3224	5.17865118140323	1.08484769182265e-44	UP
CGGC5_6743	9.21995665776554	4.10925744187577e-43	UP
CGGC5_4775	4.71740090956206	5.388115165706e-43	UP
CGGC5_3464	7.52416333370264	1.35946302439807e-40	UP
CGGC5_9306	8.11557579385599	2.02392748140246e-40	UP
CGGC5_9071	10.072468140075	1.51557257685562e-39	UP
CGGC5_597	9.3702798349867	2.14208969649009e-39	UP
CGGC5_8536	5.09057751924144	6.24170437576188e-39	UP
CGGC5_12545	6.48717660156338	1.97374792996927e-38	UP
CGGC5_11494	15.8159204265843	4.46312374015295e-37	UP
CGGC5_11981	10.9994663458659	9.71373333358434e-36	UP
CGGC5_14888	7.03852284582987	1.17993822814412e-35	UP
CGGC5_8104	7.72150802598766	1.63029299540057e-35	UP
CGGC5_14455	10.2996171725182	7.78008394721266e-35	UP
CGGC5_10961	10.0803440288667	9.69182174179042e-35	UP
CGGC5_9766	13.0827444753839	1.55685231978189e-34	UP
CGGC5_3931	3.74843069285218	1.94049597660929e-32	UP
CGGC5_9042	10.3736534547227	2.12711486891676e-32	UP
CGGC5_4309	11.2563040818191	2.82476551057515e-32	UP
CGGC5_5645	6.98005505579507	3.08428480995183e-32	UP
CGGC5_9346	8.82361512727523	6.50254140922178e-32	UP
CGGC5_14039	11.7018071901548	9.87550210284144e-32	UP
CGGC5_8825	7.62815755558935	1.01648080333994e-31	UP
CGGC5_4590	11.4327481221781	1.07660719345848e-31	UP
CGGC5_3503	6.86073047083124	4.97621169620879e-31	UP
CGGC5_12624	9.65584565572839	5.23084936252632e-31	UP
CGGC5_8268	6.27454134485114	5.29299565754219e-31	UP
CGGC5_3353	15.6243328538076	1.53890295027996e-30	UP
CGGC5_13406	7.98647616621824	4.01356722808019e-30	UP
CGGC5_8758	7.56892723618347	4.27493050865346e-30	UP
CGGC5_5568	4.85108959353184	4.88899169936594e-30	UP
CGGC5_13492	6.62576354158309	1.50290307643234e-29	UP
CGGC5_9623	8.35301608110511	3.0658002807398e-29	UP
CGGC5_6554	14.7845407835203	1.06277702348371e-28	UP
CGGC5_14354	5.96050151212686	1.20599709450301e-28	UP
CGGC5_3401	7.15082100088254	3.50573925726189e-28	UP
CGGC5_7680	15.4255027162779	4.72934167499322e-28	UP
CGGC5_1828	6.85619095482179	5.264316250698e-28	UP
CGGC5_7474	7.04449642502528	6.13856506920617e-28	UP
CGGC5_11495	14.2775324724254	1.28448921579801e-27	UP
CGGC5_14683	14.6830189699682	6.75301389001922e-27	UP
CGGC5_8316	4.76301163227548	7.40890693575786e-27	UP
CGGC5_11628	5.34649162849544	1.09833132639927e-26	UP
CGGC5_246	6.52760626684021	3.51407239384323e-26	UP
CGGC5_11727	9.22105856117133	3.53218991614534e-26	UP
CGGC5_7643	4.33789172084087	4.12998040694423e-26	UP
CGGC5_6122	10.359832427258	5.76707321614447e-26	UP
CGGC5_2716	4.73260069894433	6.57806907263068e-26	UP
CGGC5_2706	6.17782118849403	7.69736238035583e-26	UP
CGGC5_7978	8.23603033759488	1.2889630402147e-25	UP
CGGC5_14253	5.39404992443777	1.30700250346978e-25	UP
CGGC5_7383	7.48877702850976	1.67336241700946e-25	UP
CGGC5_2656	9.38372304922711	1.74331603676266e-25	UP
CGGC5_1301	7.05533432863667	1.8119068089136e-25	UP
CGGC5_7618	7.6609028073584	3.19038449499112e-25	UP
CGGC5_12675	6.61687703674743	3.35870183467063e-25	UP
CGGC5_1052	3.98969806288618	6.07287867565987e-25	UP
CGGC5_7310	5.69183260201248	6.07287867565987e-25	UP
CGGC5_4704	4.16454766007556	6.30850313764748e-25	UP
CGGC5_8113	7.8170426245257	9.95691063519673e-25	UP
CGGC5_7445	4.36131718235853	9.95691063519673e-25	UP
CGGC5_8511	8.13111966624972	1.46024560377575e-24	UP
CGGC5_2158	7.04454193217164	1.94044736067201e-24	UP
CGGC5_8975	7.20590188291246	2.39280055933291e-24	UP
CGGC5_6154	8.86786193039949	4.91295120224028e-24	UP
CGGC5_10962	10.8927475611515	5.51765613093215e-24	UP
CGGC5_1221	6.52500871190673	6.06239205770114e-24	UP
CGGC5_6834	5.48062168281538	6.5148671279182e-24	UP
CGGC5_14989	13.9142534458575	7.43152620625153e-24	UP
CGGC5_7324	10.3218036219008	8.7412621366549e-24	UP
CGGC5_4039	10.2121341303853	1.38505764060388e-23	UP
CGGC5_9349	13.5297130072478	1.91302140781728e-23	UP
CGGC5_14437	6.31038525258707	3.16859197924133e-23	UP
CGGC5_1802	13.052632902247	4.17882967230303e-23	UP
CGGC5_704	5.19125662345678	5.6565950343511e-23	UP
CGGC5_6119	5.76602528109425	8.53480475670823e-23	UP
CGGC5_14363	13.4904950322977	3.34984323567848e-22	UP
CGGC5_13946	9.6424709968927	5.06711340296372e-22	UP
CGGC5_2634	5.12992501257941	5.13662699556104e-22	UP
CGGC5_8771	5.19019615508	5.20718109686733e-22	UP
CGGC5_6633	9.18239909903341	6.1406733169081e-22	UP
CGGC5_84	15.0095659848084	6.56247341653617e-22	UP
CGGC5_8396	5.29390564527533	8.78100682901105e-22	UP
CGGC5_15268	10.6923854152932	1.25202575297438e-21	UP
CGGC5_1154	8.29670406402187	1.81265652135344e-21	UP
CGGC5_8996	10.1319834219951	2.38225323497938e-21	UP
CGGC5_3866	4.72321209973516	2.58915690711664e-21	UP
CGGC5_10444	11.3109914668719	6.71448736964973e-21	UP
CGGC5_4362	8.16284513342777	1.03783181382864e-20	UP
CGGC5_1656	4.86841628173844	1.10157225794804e-20	UP
CGGC5_4358	8.32891830092829	1.47118203428816e-20	UP
CGGC5_3799	5.99076782474045	1.77563222652755e-20	UP
CGGC5_3004	8.36739836821802	1.84869123145433e-20	UP
CGGC5_6134	5.24426426170841	2.27284631557991e-20	UP
CGGC5_10269	13.4117228812577	2.4545433626054e-20	UP
CGGC5_1755	7.61084488490506	2.6462763633964e-20	UP
CGGC5_8237	6.60303752948091	3.79720707499797e-20	UP
CGGC5_1293	5.71446188421787	3.90257854429674e-20	UP
CGGC5_6966	3.22921271486173	5.33291247654818e-20	UP
CGGC5_11185	9.2246847288967	5.90720503064197e-20	UP
CGGC5_2746	4.14710052810447	6.27992741835884e-20	UP
CGGC5_15349	12.8021096094362	6.27992741835884e-20	UP
CGGC5_11099	6.62183313314392	6.90994920703189e-20	UP
CGGC5_12822	9.4814329969313	7.93043081169889e-20	UP
CGGC5_3964	3.89283715867635	1.12457123007508e-19	UP
CGGC5_4719	9.59239491701909	1.35014221736682e-19	UP
CGGC5_1574	8.18736880015581	1.68515112308971e-19	UP
CGGC5_7508	10.2295359673589	2.07129429771153e-19	UP
CGGC5_7696	9.20687086260096	2.6400708462477e-19	UP
CGGC5_11286	6.09197404539019	2.64125242203775e-19	UP
CGGC5_7414	14.3200666368971	2.70712303848041e-19	UP
CGGC5_11207	4.49609455072495	3.60646280095124e-19	UP
CGGC5_10954	4.42277174710475	3.71667271432146e-19	UP
CGGC5_2747	7.2906485074372	3.87482083699761e-19	UP
CGGC5_6447	13.9425608394986	7.92951057784244e-19	UP
CGGC5_6127	6.30337904792383	9.07783887063622e-19	UP
CGGC5_10390	10.7471358768879	1.00194369899783e-18	UP
CGGC5_4970	9.73275488508903	1.08801901672714e-18	UP
CGGC5_10946	7.5134126960604	1.18372429797726e-18	UP
CGGC5_2709	4.40234668265778	1.25029785286033e-18	UP
CGGC5_15117	4.38398057493878	1.25029785286033e-18	UP
CGGC5_13952	6.23101152752958	1.31789111635627e-18	UP
CGGC5_5644	4.04549406682679	1.48010052945129e-18	UP
CGGC5_9248	7.85556762032212	1.51443652868698e-18	UP
CGGC5_5508	-2.54795150178399	1.57024995251856e-18	DOWN
CGGC5_886	6.04013598769317	1.63743387239216e-18	UP
CGGC5_13097	-2.63605483951821	1.71547069463589e-18	DOWN
CGGC5_12513	5.46187040552718	1.83527339405262e-18	UP
CGGC5_14095	8.30977361738503	1.96600653114304e-18	UP
CGGC5_12821	6.47930144825873	4.60998133807399e-18	UP
CGGC5_7722	6.5530347063016	4.64101060998934e-18	UP
CGGC5_14926	6.1253219453401	5.95615314866136e-18	UP
CGGC5_6861	9.48823204620973	6.66192525011829e-18	UP
CGGC5_1031	5.58516575228493	6.8598900583693e-18	UP
CGGC5_6123	6.35085899349556	1.11818840696665e-17	UP
CGGC5_3832	4.90128138689181	1.20629449923823e-17	UP
CGGC5_11453	12.7215208879204	1.35864808872639e-17	UP
CGGC5_4192	7.11575612471314	1.470196266896e-17	UP
CGGC5_3352	12.9294208683337	1.51905427454741e-17	UP
CGGC5_1468	4.92613496498694	1.58043303674467e-17	UP
CGGC5_3714	4.80485561631597	1.82066216944062e-17	UP
CGGC5_908	4.25808301430664	2.01540943544788e-17	UP
CGGC5_3400	5.96289595862363	2.07611058981464e-17	UP
CGGC5_4503	11.5213162288928	2.4183164775466e-17	UP
CGGC5_6909	6.92069275188893	2.86625962130611e-17	UP
CGGC5_3047	3.22328788540366	4.53253881098495e-17	UP
CGGC5_15243	5.00633867054185	5.43987088346126e-17	UP
CGGC5_8596	4.37583440962614	6.32332755602683e-17	UP
CGGC5_8919	6.29429117116502	7.49131006731284e-17	UP
CGGC5_10760	7.84272538389305	9.93455973361829e-17	UP
CGGC5_10979	4.7802807779669	9.93455973361829e-17	UP
CGGC5_12251	11.2267979148248	1.22892484426044e-16	UP
CGGC5_4145	3.394119267762	1.63837655528181e-16	UP
CGGC5_4638	7.83207267740595	2.30783714256451e-16	UP
CGGC5_7039	11.5215275172116	2.4246917833419e-16	UP
CGGC5_7078	5.49908581171543	2.57635644117841e-16	UP
CGGC5_1467	5.66683287519528	2.60648508676091e-16	UP
CGGC5_6744	6.70859255963254	3.07593852348915e-16	UP
CGGC5_3120	3.51404844144117	4.47542320079262e-16	UP
CGGC5_10764	7.47420250633196	4.70297791541037e-16	UP
CGGC5_14282	11.7993130655384	5.16224135561417e-16	UP
CGGC5_7396	6.00815898617723	5.58083126580968e-16	UP
CGGC5_1606	7.20905177977072	5.88849618662724e-16	UP
CGGC5_1692	5.56357603678519	6.13558987490515e-16	UP
CGGC5_8970	10.8102961601085	6.90636968808519e-16	UP
CGGC5_1451	7.05928372717703	9.65377258879762e-16	UP
CGGC5_8895	5.36983523907551	1.044453055184e-15	UP
CGGC5_14175	5.38548411105667	1.04745946479846e-15	UP
